Name,Expression,Time
Speaker,Sad,[17640.0]
Speaker,Neutral,[17680.0]
Speaker,Sad,[17680.0]
Speaker,Sad,[17680.0]
Speaker,Neutral,[17720.0]
Speaker,Sad,[17720.0]
Speaker,Neutral,[17760.0]
Speaker,Neutral,[17800.0]
Speaker,Sad,[17800.0]
Speaker,Sad,[17840.0]
Speaker,Sad,[17840.0]
Speaker,Neutral,[17840.0]
Speaker,Neutral,[17880.0]
Speaker,Sad,[17880.0]
Speaker,Sad,[17880.0]
Speaker,Neutral,[17920.0]
Speaker,Sad,[17920.0]
Speaker,Sad,[17920.0]
Speaker,Neutral,[17960.0]
Speaker,Sad,[17960.0]
Speaker,Sad,[17960.0]
Speaker,Neutral,[18000.0]
Speaker,Sad,[18000.0]
Speaker,Sad,[18000.0]
Speaker,Neutral,[18040.0]
Speaker,Sad,[18040.0]
Speaker,Sad,[18040.0]
Speaker,Neutral,[18080.000000000004]
Speaker,Sad,[18080.000000000004]
Speaker,Sad,[18080.000000000004]
Speaker,Surprise,[18120.0]
Speaker,Sad,[18120.0]
Speaker,Sad,[18120.0]
Speaker,Sad,[18160.0]
Speaker,Sad,[18160.0]
Speaker,Sad,[18160.0]
Speaker,Sad,[18200.0]
Speaker,Sad,[18200.0]
Speaker,Sad,[18200.0]
Speaker,Surprise,[18240.000000000004]
Speaker,Sad,[18240.000000000004]
Speaker,Sad,[18240.000000000004]
Speaker,Sad,[18280.0]
Speaker,Surprise,[18280.0]
Speaker,Sad,[18280.0]
Speaker,Happy,[18320.0]
Speaker,Sad,[18320.0]
Speaker,Sad,[18320.0]
Speaker,Surprise,[18360.0]
Speaker,Sad,[18360.0]
Speaker,Sad,[18360.0]
Speaker,Happy,[18400.000000000004]
Speaker,Sad,[18400.000000000004]
Speaker,Sad,[18400.000000000004]
Speaker,Happy,[18440.0]
Speaker,Sad,[18440.0]
Speaker,Sad,[18440.0]
Speaker,Sad,[18480.0]
Speaker,Sad,[18480.0]
Speaker,Neutral,[18480.0]
Speaker,Neutral,[18520.0]
Speaker,Sad,[18520.0]
Speaker,Sad,[18520.0]
Speaker,Neutral,[18560.0]
Speaker,Sad,[18560.0]
Speaker,Sad,[18560.0]
Speaker,Neutral,[18600.0]
Speaker,Sad,[18600.0]
Speaker,Sad,[18600.0]
Speaker,Happy,[18640.0]
Speaker,Sad,[18640.0]
Speaker,Sad,[18640.0]
Speaker,Happy,[18680.0]
Speaker,Sad,[18680.0]
Speaker,Sad,[18680.0]
Speaker,Happy,[18720.0]
Speaker,Sad,[18720.0]
Speaker,Sad,[18720.0]
Speaker,Happy,[18760.0]
Speaker,Sad,[18760.0]
Speaker,Sad,[18760.0]
Speaker,Happy,[18800.0]
Speaker,Sad,[18800.0]
Speaker,Sad,[18800.0]
Speaker,Happy,[18840.0]
Speaker,Sad,[18840.0]
Speaker,Sad,[18840.0]
Speaker,Happy,[18880.0]
Speaker,Sad,[18880.0]
Speaker,Sad,[18880.0]
Speaker,Happy,[18920.0]
Speaker,Sad,[18920.0]
Speaker,Sad,[18920.0]
Speaker,Happy,[18960.0]
Speaker,Sad,[18960.0]
Speaker,Sad,[18960.0]
Speaker,Sad,[19000.0]
Speaker,Sad,[19000.0]
Speaker,Happy,[19000.0]
Speaker,Happy,[19040.0]
Speaker,Sad,[19040.0]
Speaker,Sad,[19040.0]
Speaker,Happy,[19080.000000000004]
Speaker,Sad,[19080.000000000004]
Speaker,Sad,[19080.000000000004]
Speaker,Happy,[19120.0]
Speaker,Sad,[19120.0]
Speaker,Sad,[19120.0]
Speaker,Happy,[19160.0]
Speaker,Sad,[19160.0]
Speaker,Sad,[19160.0]
Speaker,Sad,[19200.0]
Speaker,Happy,[19200.0]
Speaker,Sad,[19200.0]
Speaker,Happy,[19240.000000000004]
Speaker,Sad,[19240.000000000004]
Speaker,Sad,[19240.000000000004]
Speaker,Happy,[19280.0]
Speaker,Sad,[19280.0]
Speaker,Sad,[19280.0]
Speaker,Sad,[19320.0]
Speaker,Happy,[19320.0]
Speaker,Sad,[19320.0]
Speaker,Happy,[19360.0]
Speaker,Sad,[19360.0]
Speaker,Happy,[19400.000000000004]
Speaker,Sad,[19400.000000000004]
Speaker,Happy,[19440.0]
Speaker,Sad,[19440.0]
Speaker,Sad,[19440.0]
Speaker,Happy,[19480.0]
Speaker,Sad,[19480.0]
Speaker,Sad,[19480.0]
Speaker,Happy,[19520.0]
Speaker,Sad,[19520.0]
Speaker,Sad,[19520.0]
Speaker,Happy,[19560.0]
Speaker,Sad,[19560.0]
Speaker,Sad,[19560.0]
Speaker,Happy,[19600.0]
Speaker,Sad,[19600.0]
Speaker,Sad,[19600.0]
Speaker,Happy,[19640.0]
Speaker,Sad,[19640.0]
Speaker,Sad,[19640.0]
Speaker,Happy,[19680.0]
Speaker,Sad,[19680.0]
Speaker,Sad,[19680.0]
Speaker,Happy,[19720.0]
Speaker,Sad,[19720.0]
Speaker,Sad,[19720.0]
Speaker,Happy,[19760.0]
Speaker,Sad,[19760.0]
Speaker,Sad,[19760.0]
Speaker,Sad,[19800.0]
Speaker,Happy,[19800.0]
Speaker,Sad,[19800.0]
Speaker,Happy,[19840.0]
Speaker,Sad,[19840.0]
Speaker,Sad,[19840.0]
Speaker,Surprise,[19880.0]
Speaker,Sad,[19880.0]
Speaker,Sad,[19880.0]
Speaker,Neutral,[19920.0]
Speaker,Sad,[19920.0]
Speaker,Sad,[19920.0]
Speaker,Sad,[19960.0]
Speaker,Sad,[19960.0]
Speaker,Neutral,[19960.0]
Speaker,Sad,[20000.0]
Speaker,Sad,[20000.0]
Speaker,Sad,[20000.0]
Speaker,Sad,[20040.0]
Speaker,Sad,[20040.0]
Speaker,Sad,[20040.0]
Speaker,Neutral,[20080.000000000004]
Speaker,Sad,[20080.000000000004]
Speaker,Sad,[20080.000000000004]
Speaker,Neutral,[20120.0]
Speaker,Sad,[20120.0]
Speaker,Neutral,[20160.0]
Speaker,Sad,[20160.0]
Speaker,Neutral,[20200.0]
Speaker,Sad,[20200.0]
Speaker,Neutral,[20240.000000000004]
Speaker,Sad,[20240.000000000004]
Speaker,Sad,[20240.000000000004]
Speaker,Sad,[20280.0]
Speaker,Neutral,[20280.0]
Speaker,Sad,[20280.0]
Speaker,Sad,[20320.0]
Speaker,Sad,[20320.0]
Speaker,Neutral,[20320.0]
Speaker,Happy,[20360.0]
Speaker,Sad,[20360.0]
Speaker,Sad,[20360.0]
Speaker,Happy,[20400.000000000004]
Speaker,Sad,[20400.000000000004]
Speaker,Sad,[20400.000000000004]
Speaker,Happy,[20440.0]
Speaker,Sad,[20440.0]
Speaker,Sad,[20440.0]
Speaker,Happy,[20480.0]
Speaker,Sad,[20480.0]
Speaker,Sad,[20480.0]
Speaker,Happy,[20520.0]
Speaker,Sad,[20520.0]
Speaker,Sad,[20520.0]
Speaker,Happy,[20560.0]
Speaker,Sad,[20560.0]
Speaker,Sad,[20560.0]
Speaker,Happy,[20600.0]
Speaker,Sad,[20600.0]
Speaker,Sad,[20600.0]
Speaker,Happy,[20640.0]
Speaker,Sad,[20640.0]
Speaker,Sad,[20640.0]
Speaker,Happy,[20680.0]
Speaker,Sad,[20680.0]
Speaker,Sad,[20680.0]
Speaker,Happy,[20720.0]
Speaker,Sad,[20720.0]
